CGUID,Relatioship,CGAge,CGSex
1,3,54,1
2,3,49,1
3,4,49,2
4,3,54,1
5,2,49,1
6,3,49,1
7,2,49,1
8,2,49,1
9,2,54,1
10,2,49,1
11,2,49,1
12,2,49,1
13,2,49,1
14,3,49,1
15,3,54,1
16,4,54,2
17,3,49,1
18,3,49,1
19,3,54,1
20,2,50,1
21,3,54,1
22,2,36,1
23,2,28,1
24,4,30,2
25,4,36,2
26,2,35,2
27,3,53,1
28,3,49,1
29,2,42,1
30,3,43,1
31,3,40,1
32,2,58,1
33,3,48,1
34,3,48,1
35,3,39,1
36,2,37,1
37,3,36,1
38,2,65,1
39,4,37,2
40,2,68,1
41,4,43,2
42,4,36,2
43,3,49,1
44,4,36,2
45,4,70,2
46,3,48,1
47,2,45,1
48,3,45,1
49,2,53,1
50,3,43,1
51,3,46,1
52,3,56,1
53,3,48,1
54,3,43,1
55,3,53,1
56,3,51,1
57,3,52,1
58,3,54,1
59,3,53,1
60,3,52,1
61,3,50,1
62,4,45,2
63,3,41,1
64,4,43,2
65,3,42,1
66,3,42,1
67,2,61,1
68,4,45,2
69,3,43,1
70,4,41,2
71,3,42,1
72,2,72,2
73,3,44,1
74,2,89,1
75,2,50,1
76,3,40,1
77,2,60,1
78,4,39,2
79,3,45,1
80,3,42,1
81,4,43,2
82,3,36,1
83,3,40,1
84,3,39,1
85,3,42,1
86,3,36,1
87,2,40,1
88,4,54,2
89,4,62,2
90,4,36,2
91,3,-999999999,1
92,3,36,1
93,3,52,1
94,2,45,1
95,3,47,1
96,2,55,1
97,3,65,1
98,2,45,2
99,2,55,1
100,3,51,1
101,3,40,1
102,2,45,2
103,3,41,1
104,2,41,1
105,3,37,1
106,3,37,1
107,3,46,1
108,4,38,2
109,4,37,2
110,3,41,1
111,3,40,1
112,3,47,1
113,3,40,1
114,3,41,1
115,3,33,1
116,2,50,1
117,3,47,1
118,3,46,1
119,3,44,1
120,3,45,1
121,3,50,1
122,3,56,1
123,2,40,1
124,3,48,1
125,2,44,1
126,3,49,1
127,3,48,1
128,2,38,1
129,3,36,1
130,4,-999999999,2
131,3,-999999999,1
132,2,-999999999,2
133,3,-999999999,1
134,3,-999999999,1
135,4,-999999999,2
136,3,-999999999,1
137,2,-999999999,1
138,3,-999999999,1
139,3,-999999999,1
140,3,-999999999,1
141,2,-999999999,1
142,2,-999999999,1
143,2,-999999999,1
144,4,-999999999,2
145,3,-999999999,1
146,2,-999999999,1
147,4,-999999999,2
148,2,-999999999,1
149,3,-999999999,1
150,3,-999999999,1
151,3,-999999999,1
152,3,-999999999,1
153,3,-999999999,1
154,3,-999999999,1
155,3,-999999999,1
156,4,-999999999,2
157,3,-999999999,1
158,2,-999999999,1
159,2,-999999999,1
160,3,-999999999,1
161,3,43,1
162,3,24,1
163,3,-999999999,1
164,2,-999999999,1
165,2,-999999999,1
166,3,-999999999,1
167,4,-999999999,2
168,4,-999999999,2
169,3,-999999999,1
170,3,-999999999,1
171,3,-999999999,1
172,2,-999999999,2
173,3,-999999999,1
174,2,-999999999,1
175,3,-999999999,1
176,4,-999999999,2
177,3,-999999999,1
178,3,-999999999,1
179,2,-999999999,1
180,3,-999999999,1
181,3,-999999999,1
182,3,-999999999,1
183,2,-999999999,2
184,3,-999999999,1
185,3,-999999999,1
186,3,-999999999,1
187,2,-999999999,1
188,3,-999999999,1
189,4,-999999999,2
190,2,-999999999,1
191,3,-999999999,1
192,2,78,1
193,3,42,1
194,3,78,1
195,3,56,1
196,3,78,1
197,3,54,1
198,2,73,1
199,2,66,1
200,3,44,1
201,3,47,1
202,3,47,1
203,2,76,1
204,3,78,1
205,3,68,1
206,3,39,1
207,3,53,1
208,2,63,1
209,2,55,1
210,2,55,1
211,2,48,1
212,2,35,1
213,2,86,2
214,2,86,1
215,2,86,1
216,3,48,1
217,2,51,1
218,3,75,1
219,2,75,1
220,3,75,1
221,2,75,1
222,2,44,1
223,4,44,2
224,3,44,1
225,2,87,1
226,2,87,1
227,2,66,1
228,3,66,1
229,4,66,2
230,3,44,1
231,3,59,1
232,3,59,1
233,2,59,1
234,3,39,1
235,2,39,1
236,2,58,1
237,4,58,2
238,2,61,2
239,2,45,1
240,3,45,1
241,4,45,2
242,3,45,1
243,3,45,1
244,3,45,1
245,3,40,1
246,3,43,1
247,3,39,1
248,2,38,1
249,3,33,1
250,3,36,1
251,3,35,1
252,3,35,1
253,2,67,1
254,3,35,1
255,3,46,1
256,3,49,1
257,2,41,1
258,3,68,1
259,3,42,1
260,3,39,1
261,2,68,1
262,3,40,1
263,3,39,1
264,2,42,1
265,2,44,1
266,3,48,1
267,3,50,1
268,3,40,1
269,4,61,2
270,2,38,1
271,3,42,1
272,3,35,1
273,3,42,1
274,3,33,1
275,3,35,1
276,3,52,1
277,2,73,1
278,3,41,1
279,3,40,1
280,3,33,1
281,3,25,1
282,3,33,1
283,3,39,1
284,3,43,1
285,3,44,1
286,3,43,1
287,4,47,2
288,3,33,1
289,3,49,1
290,3,49,1
291,3,49,1
292,4,49,2
293,4,49,2
294,3,49,1
295,3,49,1
296,4,49,2
297,3,49,1
298,3,49,1
299,3,49,1
300,3,49,1
301,3,49,1
302,3,49,1
303,4,49,2
304,3,49,1
305,3,49,1
306,3,54,1
307,3,49,1
308,3,49,1
309,2,49,2
310,3,49,1
311,3,49,1
312,3,49,1
313,3,49,1
314,3,49,1
315,3,49,1
316,3,49,1
317,3,44,1
318,3,49,1
319,3,54,1
320,3,49,1
321,2,54,2
322,3,49,1
323,2,49,2
324,2,49,2
325,3,49,1
326,3,49,1
327,2,49,2
328,2,54,2
329,3,49,1
330,3,49,1
331,3,54,1
332,2,49,2
333,2,49,2
334,3,49,1
335,2,49,2
336,3,49,1
337,3,44,1
338,3,49,1
339,3,49,1
340,3,49,1
341,2,49,2
342,3,54,1
343,3,49,1
344,3,49,1
345,3,54,1
346,3,49,1
347,3,49,1
348,3,49,1
349,3,54,1
350,3,49,1
351,3,49,1
352,3,49,1
353,3,49,1
354,3,49,1
355,3,49,1
356,3,49,1
357,3,49,1
358,3,49,1
359,3,49,1
360,2,49,2
361,3,49,1
362,3,49,1
363,3,54,1
364,3,49,1
365,3,49,1
366,2,49,2
367,3,49,1
368,3,54,1
369,3,49,1
370,3,49,1
371,3,49,1
372,3,49,1
373,3,49,1
374,3,49,1
375,3,49,1
376,3,49,1
377,3,49,1
378,3,49,1
379,3,54,1
380,3,54,1
381,2,54,2
382,3,54,1
383,3,49,1
384,3,49,1
385,3,49,1
386,3,54,1
387,3,49,1
388,3,54,1
389,3,49,1
390,3,49,1
391,3,54,1
392,3,49,1
393,3,49,1
394,3,49,1
395,3,54,1
396,3,49,1
397,3,54,1
398,3,54,1
399,3,49,1
400,3,49,1
401,3,49,1
402,3,49,1
403,3,54,1
404,3,54,1
405,3,49,1
406,3,54,1
407,3,54,1
408,3,54,1
409,3,54,1
410,3,49,1
411,3,49,1
412,3,49,1
413,3,49,1
414,3,49,1
415,3,49,1
416,3,49,1
417,3,49,1
418,3,49,1
419,3,49,1
420,3,49,1
421,3,49,1
422,3,49,1
423,2,49,2
424,3,49,1
425,3,54,1
426,3,49,1
427,3,49,1
428,3,49,1
429,3,49,1
430,2,49,2
431,3,49,1
432,4,49,2
433,4,40,2
434,3,49,1
435,3,49,1
436,3,49,1
437,3,54,1
438,3,49,1
439,4,49,2
440,3,49,1
441,3,49,1
442,3,49,1
443,3,49,1
444,3,49,1
445,3,49,1
446,3,49,1
447,3,49,1
448,3,49,1
449,3,49,1
450,4,49,2
451,4,49,2
452,3,49,1
453,3,54,1
454,3,54,1
455,4,54,2
456,4,54,2
457,3,49,1
458,3,54,1
459,3,49,1
460,2,49,1
461,2,49,1
462,2,49,1
